11/04/21,Sun,,City : ,Leh
Temperature,,4°C
Description,,Clouds
Windspeed,,1.69 m/s
Humidity,,28%
Max Temperature,,4.52°C
Min Temperature,,-3.14°C
Uvi,,5.55
Pressure,,1018 mbar
