11/04/21,Sun,,City : ,Leh
11/04,Sun,2.16,-3.14,4.52,1023,41
12/04,Mon,1.85,-1.87,4.83,1024,55
13/04,Tue,2.64,-2.45,5.18,1026,49
14/04,Wed,4.89,0.20,6.26,1022,43
15/04,Thu,4.33,0.02,7.07,1022,54
16/04,Fri,5.66,0.77,7.88,1019,44
17/04,Sat,7.08,3.08,9.27,1015,45
18/04,Sun,5.70,1.86,7.77,1016,53
