11/04/21,Sun,,City : ,Mumbai
Temperature,,32°C
Description,,Smoke
Windspeed,,5.66 m/s
Humidity,,52%
Max Temperature,,32.51°C
Min Temperature,,27.53°C
Uvi,,5.92
Pressure,,1008 mbar
