11/04/21,Sun,,City : ,Ahmedabad
Temperature,,44°C
Description,,Clear
Windspeed,,3.09 m/s
Humidity,,6%
Max Temperature,,44.00°C
Min Temperature,,26.63°C
Uvi,,5.24
Pressure,,1007 mbar
